date,wallet,name,pnl_alltime,vol_alltime,trades_20d,days_active_20d,markets_count_20d,avg_trade_size,top_market_pct,is_bot,categories,markets_sample,consistency_score
2026-04-10,0x8a6c6811e8937f9e8afc1b9249fa540262c30b3f,0x8a6C6811e8937F9E8aFc1b9249FA540262c30b3f-1771776258725,228767.15,666537.73,39,3,16,24823.79,15.4,False,"OVERALL, SPORTS",Celtics vs. Knicks | Heat vs. Raptors | Spread: Paris Saint-Germain FC (-1.5),61.0
2026-04-10,0x63a51cbb37341837b873bc29d05f482bc2988e33,mhh29,228527.7,632918.4,88,4,19,30843.09,15.9,False,"OVERALL, SPORTS",Map Handicap: FUT (-1.5) vs B8 (+1.5) | Kansas City Royals vs. Cleveland Guardians: O/U 6. | Spread: San Diego Padres (-1.5),70.0
2026-04-10,0x26437896ed9dfeb2f69765edcafe8fdceaab39ae,Latina,125397.71,412492.48,100,2,1,2792.06,100.0,True,"OVERALL, SPORTS",Maple Leafs vs. Islanders,28.0
2026-04-10,0x959afc4649fb9ed03c0205070fa114eec4f97b64,SolMoe,123536.81,976335.54,98,2,3,3973.84,81.6,True,"OVERALL, SPORTS",Celtics vs. Knicks | Clippers vs. Trail Blazers | Counter-Strike: MIBR vs 3DMAX (BO3) - PGL Buchares,32.0
2026-04-10,0x9976874011b081e1e408444c579f48aa5b5967da,BWArmageddon,105913.13,267406.07,100,1,1,917.78,100.0,True,"OVERALL, SPORTS",Sharks vs. Ducks,25.0
2026-04-10,0xead152b855effa6b5b5837f53b24c0756830c76a,elkmonkey,105314.48,1266892.3,100,1,41,43.83,19.0,False,"OVERALL, SPORTS",Warriors vs. Kings | Raptors vs. Knicks | Senators vs. Islanders,105.0
2026-04-10,0x5ae14dc9e0cf9df72de8d873dcea05aacb799fad,ohuhusos,103601.93,301499.75,99,1,2,1238.28,50.5,True,"OVERALL, SPORTS",76ers vs. Rockets | Lakers vs. Warriors,27.0
2026-04-10,0x777d9f00c2b4f7b829c9de0049ca3e707db05143,CarlosMC,90340.4,574561.75,100,1,2,0.79,61.0,True,"OVERALL, SPORTS",Will the Cleveland Cavaliers win the 2026 NBA Fina | Will the Philadelphia 76ers win the 2026 NBA Final,27.0
2026-04-10,0xc8075693f48668a264b9fa313b47f52712fcc12b,texaskid,83491.58,77140.67,98,2,6,476.49,41.8,False,"OVERALL, SPORTS",Colorado Rockies vs. San Diego Padres: O/U 8.5 | Predators vs. Utah: O/U 6.5 | Hurricanes vs. Blackhawks,38.0
2026-04-10,0x9f2fe025f84839ca81dd8e0338892605702d2ca8,surfandturf,72818.93,102673.79,97,2,3,869.07,67.0,True,"OVERALL, SPORTS",Celtics vs. Knicks | 76ers vs. Rockets | Lakers vs. Warriors,32.0
2026-04-10,0x6ade597c0e2b43c0bf3542cada8a5e330d73f5b0,TheOnlyHuman,66574.46,2000.0,89,2,6,1005.37,34.8,False,"OVERALL, SPORTS",Pacers vs. Nets: O/U 224.5 | 76ers vs. Rockets: O/U 226.5 | Spread: Raptors (-3.5),38.0
2026-04-10,0xd202bf6d89dc6bab1b9f00ead175f75466348973,meoooow,59528.93,56593.68,91,2,4,591.45,39.6,False,"OVERALL, SPORTS",Game Handicap: T1 (-1.5) vs DN SOOPers (+1.5) | Spread: Knicks (-4.5) | Heat vs. Raptors: O/U 237.5,34.0
2026-04-10,0x58b3380f71bd6c706dd398a5e60bde55fa3a653c,timetowander,53727.14,273646.26,100,1,9,0.0,44.0,False,"OVERALL, POLITICS",Will the next Prime Minister of Hungary be László  | Will Yonhy Lescano win the 2026 Peruvian president | Will Alfonso López Chau win the 2026 Peruvian pres,41.0
2026-04-10,0x37c1874a60d348903594a96703e0507c518fc53a,CemeterySun,52825.83,356572.94,100,1,17,139.88,20.0,False,"OVERALL, SPORTS",Will West Ham United FC win on 2026-04-10? | Colorado Rockies vs. San Diego Padres: O/U 3.5 | Spread: Colorado Rockies (-1.5),57.0
2026-04-10,0x0eb75bf6f54794a83bd26095811f30b530161f17,elshark206,49748.19,203013.61,97,5,25,4486.47,10.3,False,"OVERALL, SPORTS",Bucks vs. Nets | Spread: Pelicans (-7.5) | Knicks vs. Hawks,85.0
